epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
109,32859.8,1.26081,0.62592,1.03227,0.99099,0.9955,0.99336,0.67321,1.23205,0.44277,1.08676,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
110,33160.6,1.25977,0.61881,1.03218,0.9911,0.9955,0.99335,0.67356,1.23186,0.44236,1.08638,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557
111,33461.6,1.25786,0.62085,1.02936,0.99109,0.9955,0.99336,0.67322,1.23232,0.4417,1.08637,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
112,33762.6,1.25754,0.61935,1.03055,0.99098,0.9955,0.99336,0.67305,1.23205,0.4412,1.08591,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
113,34063.6,1.25752,0.61411,1.028,0.99104,0.99555,0.99336,0.6728,1.23208,0.44079,1.08569,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667
114,34364.5,1.25277,0.61741,1.02935,0.99104,0.99551,0.99335,0.67233,1.23173,0.44062,1.08507,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336
115,34665.3,1.25821,0.61558,1.02695,0.99156,0.9955,0.99334,0.6719,1.23188,0.44017,1.08466,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
116,34966.1,1.25759,0.61579,1.02942,0.99159,0.9955,0.99333,0.672,1.23181,0.43994,1.08437,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
117,35267,1.25158,0.60789,1.02689,0.99185,0.99572,0.99331,0.67199,1.23179,0.43957,1.08402,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287
118,35568,1.24586,0.61147,1.02652,0.99184,0.9956,0.99331,0.67189,1.23183,0.4393,1.08388,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
119,35868.8,1.24961,0.60973,1.02649,0.99184,0.99556,0.9933,0.67154,1.23192,0.43902,1.08354,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072
120,36169.5,1.24386,0.60614,1.02585,0.99184,0.9955,0.9933,0.6715,1.23167,0.43865,1.08299,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718
121,36470.4,1.2406,0.60262,1.02188,0.99184,0.99537,0.99328,0.67187,1.23128,0.43833,1.0825,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
122,36771.5,1.24308,0.59922,1.02393,0.99184,0.99536,0.99326,0.6724,1.23088,0.43807,1.0821,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311
123,37072.5,1.23778,0.6,1.02048,0.99184,0.99536,0.99325,0.673,1.23015,0.43768,1.08154,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704
124,37373.6,1.23703,0.60261,1.0233,0.99184,0.99539,0.99324,0.67335,1.22974,0.43735,1.08115,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
125,37674.7,1.23771,0.59997,1.0209,0.99184,0.99535,0.99324,0.67344,1.2292,0.43704,1.08056,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947
126,37975.5,1.23722,0.59484,1.02053,0.99184,0.99526,0.99324,0.67371,1.22929,0.43685,1.08022,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174
127,38276.7,1.23605,0.59421,1.01978,0.99184,0.99525,0.99324,0.67388,1.22882,0.43657,1.07964,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
