epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
114,38455.4,0.66088,0.34407,0.90236,0.95522,0.97519,0.98696,0.86883,0.58483,0.28302,0.84056,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336
115,38791.9,0.66039,0.3421,0.90034,0.95533,0.97511,0.98697,0.86867,0.58482,0.28289,0.84048,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
116,39128.8,0.6594,0.34253,0.90057,0.95463,0.97612,0.98702,0.86899,0.58472,0.28247,0.84038,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
117,39465.6,0.65709,0.34189,0.90253,0.95464,0.97627,0.98705,0.86905,0.58467,0.2822,0.84027,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287
118,39802.4,0.65291,0.33929,0.89983,0.95463,0.97607,0.98707,0.8691,0.5845,0.28198,0.84017,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
119,40139.3,0.65132,0.33829,0.89932,0.95444,0.97648,0.98711,0.86939,0.58435,0.28157,0.84008,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072
120,40476,0.65144,0.33853,0.90007,0.95427,0.97759,0.98707,0.86945,0.58423,0.28136,0.84,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718
121,40813.1,0.6508,0.3368,0.89933,0.95429,0.97804,0.98699,0.86978,0.58394,0.28119,0.83989,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
122,41150,0.65044,0.3351,0.89978,0.95409,0.97829,0.98699,0.86987,0.58363,0.2808,0.83977,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311
123,41486.7,0.64741,0.33273,0.89828,0.9542,0.9785,0.987,0.86982,0.58337,0.28047,0.83969,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704
124,41823.8,0.64843,0.33341,0.89954,0.9543,0.97895,0.98704,0.87024,0.58314,0.28026,0.83961,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
125,42160.4,0.64342,0.33219,0.89832,0.95429,0.97895,0.98704,0.87045,0.5829,0.28004,0.83952,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947
126,42497.1,0.64582,0.33306,0.89921,0.95458,0.97873,0.98708,0.87087,0.58272,0.27966,0.83945,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174
127,42834.1,0.64063,0.33034,0.89536,0.95465,0.97873,0.98709,0.87105,0.58253,0.27943,0.83941,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
